#NAME	SRR3931522	SRR3931523	SRR3931524	SRR3931525	SRR3931526	SRR3931527	SRR3931528	SRR3931529	SRR3931530	SRR3931531	SRR3931532	SRR3931533	SRR3931534	SRR3931535	SRR3931536	SRR3931537	SRR3931538	SRR3931539	SRR3931540	SRR3931541	SRR3931542	SRR3931543	SRR3931544	SRR3931545	SRR3931546	SRR3931547	SRR3931548	SRR3931549	SRR3931550	SRR3931551	SRR3931552	SRR3931553	SRR3931554	SRR3931555	SRR3931556	SRR3931557	SRR3931558	SRR7500378	SRR7500379	SRR7500380	SRR7500381	SRR7500382	SRR7500383	SRR7500384	SRR7500385	SRR7500386	SRR7500387	SRR7500388	SRR7500389	SRR7500390	SRR7500391	SRR7500392	SRR7500393	SRR7500394	SRR7500395	SRR7500396	SRR7500397	SRR7500398	SRR7500399	SRR7500400	SRR7500401	SRR7500402	SRR7500403	SRR7500404	SRR7500405	SRR7500406	SRR7500407	SRR7500408	SRR7500409	SRR7500410	SRR7500411	SRR7500412	SRR7500413	SRR7500414	SRR7500415	SRR7500416	SRR7500417	SRR7500418	SRR7500419	SRR7500420	SRR7500421	SRR7500422	SRR7500423	SRR7500424	SRR7500425	SRR7500426	SRR7500427	SRR7500428	SRR7500429	SRR7500430	SRR7500431	SRR7500432	SRR7500433	SRR7500434	SRR7500435	SRR7500436	SRR7500437	SRR7500438	SRR7500439	SRR7500440	SRR7500441	SRR7500442	SRR7500443	SRR7500444	SRR7500445	SRR7500446	SRR7500447	SRR7500448	SRR7500449	SRR7500450	SRR7500451	SRR7500452	SRR7500453	SRR7500454	SRR7500455	SRR7500456	SRR7500457	SRR7500458	SRR7500459	SRR7500460	SRR7500461	SRR7500462	SRR7500463	SRR7500464	SRR7908909	SRR7908910	SRR7908911	SRR7908912	SRR7908913	SRR7908914	SRR7908915	SRR7908916	SRR7908917	SRR7908918	SRR7908919	SRR7908920	SRR7908921	SRR7908922	SRR7908923	SRR7908924	SRR7908925	SRR7908926	SRR7908927	SRR7908928	SRR7908929	SRR7908930	SRR7908931	SRR7908932	SRR7908933	SRR7908934	SRR7908935	SRR7908936	SRR7908937	SRR7908938	SRR7908939	SRR7908940	SRR7908941	SRR7908942	SRR7908943	SRR7908944	SRR7908945	SRR7908946	SRR7908947	SRR7908948	SRR7908949	SRR7908950	SRR7908951	SRR7908952	SRR7908953	SRR7908954	SRR7908955	SRR7908956	SRR7908957	SRR7908958	SRR7908959	SRR7908960	SRR7908961	SRR7908962	SRR7908963	SRR7908964	SRR7908965	SRR7908966	SRR7908967	SRR7908968	SRR7908969	SRR7908970	SRR7908971	SRR7908972	SRR7908973	SRR7908974	SRR7908975	SRR7908976	SRR7908977	SRR7908978	SRR7908979	SRR7908980	SRR7908981	SRR7908982	SRR7908983	SRR7908984	SRR7908985	SRR7908986	SRR7908987	SRR7908988	SRR7908989	SRR7908990	SRR7908991	SRR7908992	SRR9712101	SRR9712102	SRR9712103	SRR9712104	SRR9712105	SRR9712106	SRR9712107	SRR9712108	SRR9712109	SRR9712110	SRR9712111	SRR9712112	SRR9712113	SRR9712114	SRR9712115	SRR9712116	SRR9712117	SRR9712118	SRR9712119	SRR9712120	SRR9712121	SRR9712122	SRR9712123	SRR9712124	SRR9712125	SRR9712126	SRR9712127	SRR9712128	SRR9712129	SRR9712130	SRR9712131	SRR9712132	SRR9712133	SRR9712134	SRR9712135	SRR9712136	SRR9712137	SRR9712138	SRR9712139	SRR9712140	SRR9712141	SRR9712142	SRR9712143	SRR9712144	SRR9712145	SRR9712146	SRR9712147	SRR9712148	SRR9712149	SRR9712150	SRR9712151	SRR9712152	SRR9712153	SRR9712154	SRR9712155	SRR9712156	SRR9712157	SRR9712158	SRR9712159	SRR9712160	SRR9712161	SRR9712162	SRR9712163	SRR9712164	SRR9712165	SRR9712166	SRR9712167	SRR9712168	SRR9712169	SRR9712170	SRR9712171	SRR9712172	SRR9712173	SRR9712174	SRR9712175	SRR9712176	SRR9712177	SRR9712178	SRR9712179	SRR9712180	SRR9712181	SRR9712182	SRR9712183	SRR9712184	SRR9712185	SRR9712186	SRR9712187	SRR9712188	SRR9712189	SRR9712190	SRR9712191	SRR9712192	SRR9712193	SRR9712194	SRR9712195	SRR9712196	SRR9712197	SRR9712198	SRR9712199	SRR9712200	SRR9712201	SRR9712202	SRR9712203	SRR9712204	SRR9712205	SRR9712206	SRR9712207	SRR9712208	SRR9712209	SRR9712210	SRR9712211	SRR9712212	SRR9712213	SRR9712214	SRR9712215	SRR9712216	SRR9712217	SRR9712218	SRR9712219	SRR9712220	SRR9712221	SRR9712222	SRR9712223	SRR9712224	SRR9712225	SRR9712226	SRR9712227	SRR9712228	SRR9712229	SRR9712230	SRR9712231	SRR9712232	SRR9712233	SRR9712234	SRR9712235	SRR9712236	SRR9712237	SRR9712238	SRR9712239	SRR9712240	SRR9712241	SRR9712242	SRR9712243	SRR9712244	SRR9712245	SRR9712246	SRR9712247	SRR9712248	SRR9712249	SRR9712250	SRR9712251	SRR9712252	SRR9712253	SRR9712254	SRR9712255	SRR9712256	SRR9712257	SRR9712258	SRR9712259	SRR9712260
ASV4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	1	7	7	2	23	0	0	9	3	5	0	0	2	1	1	4	1	1	4	0	0	1	1	2	1	2	3	1	1	0	1	0	2	2	3	6	12	1	2	1	2	1	0	0	4	0	0	0	1	0	0	6	1	2	6	0	0	0	6	2	1	1	1	6	3	2	0	1	6	0	0	4	5	3	6	0	1	11	0	3	0	0	0	2375	409	16130	6144	17	2883	471	8940	2746	3002	1351	1039	342	296	886	867	1849	8204	9887	17628	1849	17586	4208	401	6812	1360	2741	2476	675	1228	918	164	912	18886	757	17315	1907	3428	5688	24934	13268	2950	6693	3042	2718	532	5951	4128	1758	841	3334	6483	632	10016	2580	7949	12834	1771	21856	16636	7602	7322	1461	2315	5063	1909	458	10468	4783	18541	3331	242	3797	5122	862	2394	4572	118	323	4180	4279	8407	1072	1653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	4	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7645	10973	7612	2244	6336	81	5147	10023	2653	15742	0	0	0	0	0	0	0	0	0	0	0	14456	7196	2678	1349	4857	2172	3495	8063	5621	4051	0	0	0	0	0	0	0	0	0	0	0	0	2284	3260	1094	1596	1055	1304	6189	611	6015	3980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3222	7761	5786	8175	6121	6740	2349	9954	5051	1384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11148	2009	3990	3190	4882	8866	3103	5008	9584	4390	3956	2945	3059	2121	3121	10800	3178	1	5317	5144	9358	4868	14879	5678	2312	10430	5164	803	1249	5266	6033	10987	13002	1375	2683	2528	1032	9968	8432	584	0	0	0	0	0	0	0	0	0	0
ASV6	0	0	2	1	0	7	0	0	0	0	1	1	0	2	0	0	0	1	0	4	0	0	1	4	0	0	0	0	1	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4323	3929	2418	48	2	771	598	4704	12560	1479	0	0	0	0	0	0	0	0	0	0	0	7100	15658	3995	5654	393	6757	43647	24135	1287	12843	0	0	0	0	0	0	0	0	0	0	0	0	16540	6527	7773	2178	10555	1023	6445	162	16614	20558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2723	144	4726	1812	4087	9941	1601	4039	9698	1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2920	3042	1252	28	1635	272	6520	7943	3989	591	15890	3886	6507	2453	422	1198	817	1	106	3	178	779	442	873	212	1501	9326	50	3009	5417	5669	131	3630	2718	7604	14688	5499	3796	642	1901	0	0	0	0	0	0	0	0	0	0
ASV8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2289	3350	7991	3388	5430	1779	4113	1374	3689	4306	3492	2457	1937	1124	1895	2242	7103	4614	2714	3720	3545	5644	3452	2994	4285	2461	2606	4200	4049	3199	4258	2452	2192	4752	2864	3132	2631	3984	3121	9669	4448	1879	3339	2569	2570	1812	1959	2021	4022	5028	11461	4856	2684	4373	5134	1241	2789	1808	4029	5584	2929	1494	1242	2602	2685	2461	1061	4562	1576	1994	2695	5174	3445	8555	838	1640	2665	1036	2105	1167	1975	4379	9448	3775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV9	0	0	3	2	0	5	0	0	0	0	1	0	0	1	1	0	0	3	1	0	0	0	0	1	0	3	1	0	1	2	0	1	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5660	1740	1226	3639	3338	6541	2174	1644	2349	2527	0	0	0	0	0	0	0	0	0	0	0	767	1987	3077	4079	2588	10003	1027	7745	3311	2499	0	0	0	0	0	0	0	0	0	0	0	0	3870	2685	2611	1571	1255	664	3470	3973	1721	1509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1938	5595	4879	2300	5176	2977	3058	2551	2210	2947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7057	9915	1251	2683	1649	2769	2405	2966	1953	3258	2036	3129	3647	3739	2700	1408	3212	0	2819	4697	4666	2290	5466	1615	3493	1121	3431	3048	1055	3347	1891	1739	963	4674	4533	2854	2021	3418	1851	737	0	0	0	0	0	0	0	0	0	0
ASV10	4	0	0	1	7	6	0	0	0	4	3	5	1	3	9	1	4	0	2	4	1	0	1	4	1	0	0	0	2	0	1	2	0	2	10	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2395	715	3983	899	2	42	11071	3128	3786	1774	0	0	0	0	0	0	0	0	0	0	0	1112	4043	1829	4593	2223	409	774	716	834	1337	0	0	0	0	0	0	0	0	0	0	0	0	860	1508	384	907	292	347	807	1483	1146	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1828	2807	2630	2837	2666	1145	670	5661	497	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1456	3025	1279	2133	2546	1686	5197	3707	11417	3337	4702	71	1945	4937	584	1401	3753	1	4472	4	7094	4404	8198	4476	885	1315	1855	702	2248	6321	2560	1971	929	2887	2170	197	2124	2514	5201	142	0	0	0	0	0	0	0	0	0	0
ASV11	0	1	21	1	1	0	0	0	0	0	0	8	7	0	0	0	12	1	0	5	2	0	0	5	9	35	0	1	13	0	3	12	16	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	5325	67	2185	20	1049	1257	2760	645	4113	0	0	0	0	0	0	0	0	0	0	0	1732	303	1386	188	1795	130	2152	2089	2134	1602	0	0	0	0	0	0	0	0	0	0	0	0	3719	801	3656	3035	1325	4529	2367	1824	2519	4479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3198	856	953	1680	2028	474	5337	837	1502	7210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1338	1071	914	204	1292	1981	165	1536	489	952	665	14660	4442	409	1182	2554	1121	1	1547	753	765	539	747	1949	786	758	2918	4070	3624	351	17866	463	1366	676	2442	2480	1682	3256	542	1007	0	0	0	0	0	0	0	0	0	0
ASV12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	1828	485	47	2	933	395	2871	5773	1765	0	0	0	0	0	0	0	0	0	0	0	5466	762	2019	1348	92	2957	689	9106	1054	1303	0	0	0	0	0	0	0	0	0	0	0	0	7948	2550	11178	455	7233	373	2715	210	6334	7934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1432	90	1976	521	3323	1081	768	2593	609	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	973	1649	2792	14164	26	119	2511	10	2367	302	102	51	8507	882	254	133	184	0	1213	366	259	610	606	460	641	31	2357	45	1428	2517	1204	100	4496	546	1577	9125	2555	1742	404	804	0	0	0	0	0	0	0	0	0	0
ASV13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	5	0	2	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1635	459	490	2121	822	5222	1856	288	6833	799	1141	5323	1097	978	880	3069	936	2360	1056	3410	436	883	504	3818	731	3987	1256	4721	4299	3013	1356	17	365	593	275	5158	932	1239	1068	1691	2476	962	400	703	1090	793	945	443	484	3274	2525	1472	2628	330	1100	379	4563	693	712	4068	2858	1206	341	3064	476	3901	237	909	2042	763	602	801	1678	6520	270	828	1334	636	338	891	1168	1582	9131	5394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV14	0	0	4	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	781	4258	964	456	3803	15	2927	201	401	5521	0	0	0	0	0	0	0	0	0	0	0	2790	56	2939	360	2168	1	164	738	2836	1854	0	0	0	0	0	0	0	0	0	0	0	0	168	159	173	778	375	835	303	164	527	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1388	3375	569	3248	2370	84	71	1062	2595	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4593	328	443	904	835	2304	1283	6382	2344	3116	441	553	1531	7171	721	3531	2419	0	4323	3133	2767	2454	1662	2043	2672	1904	448	1303	1112	477	700	3430	1452	412	264	115	983	2954	1378	8	0	0	0	0	0	0	0	0	0	0
